"Indicator","Data Source","PUBLISH STATES","Year","WHO region","Country","Beverage Types","Display Value","Numeric","Low","High","Comments"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Georgia","Beer","1.08","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Russian Federation","Wine","0.7","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1995","Europe","Estonia","Other alcoholic beverages","0.03","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Kazakhstan","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2012","Europe","Latvia","Wine","1.16","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Georgia","Spirits","1.2","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1990","Europe","Luxembourg","All","15.03","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Austria","Spirits","1.6","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","San Marino","Spirits","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2001","Europe","Austria","Beer","6.6","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Cyprus","Spirits","2.85","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Hungary","Spirits","3.99","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Austria","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Denmark","All","10.98","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Finland","Spirits","1.07","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1999","Europe","Norway","All","5.45","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2001","Europe","Serbia","Spirits","2.41","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Georgia","Beer","0.11","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1995","Europe","Cyprus","Spirits","3.62","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Slovakia","Spirits","4.31","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1990","Europe","Croatia","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Belarus","All","12.23","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1991","Europe","San Marino","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Slovenia","Spirits","3.14","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Belgium","Other alcoholic beverages","0.01","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","United Kingdom","Other alcoholic beverages","0.52","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Finland","Other alcoholic beverages","1.22","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1995","Europe","Portugal","All","12.8","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Italy","Spirits","0.37","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Russian Federation","Beer","3.65","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Montenegro","All","6.58","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Serbia","Spirits","2.53","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","France","Other alcoholic beverages","0.17","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Turkmenistan","Wine","0.97","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Kyrgyzstan","Spirits","1.83","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1998","Europe","Uzbekistan","Beer","0.23","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Romania","Beer","4.5","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Italy","Beer","1.47","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1995","Europe","Lithuania","Wine","0.55","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Azerbaijan","Other alcoholic beverages","0.01","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1996","Europe","Iceland","Beer","2.19","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Azerbaijan","Other alcoholic beverages","0.01","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Slovenia","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Italy","Beer","1.4","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Albania","Wine","0.98","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1992","Europe","Latvia","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Uzbekistan","Spirits","1.61","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Kyrgyzstan","Other alcoholic beverages","0.01","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1991","Europe","France","Beer","2.53","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Denmark","Spirits","1.85","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","United Kingdom","Other alcoholic beverages","0.62","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Bosnia and Herzegovina","Beer","3.34","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Cyprus","Spirits","2.94","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Luxembourg","Spirits","2.5","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1999","Europe","Turkmenistan","All","1.63","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","United Kingdom","Spirits","1.87","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","United Kingdom","Beer","5.31","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1996","Europe","Belarus","Spirits","8.16","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Belgium","All","10.6","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Romania","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Uzbekistan","Wine","0.16","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Italy","Spirits","0.42","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Serbia","All","7.25","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Estonia","All","11.36","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Armenia","Spirits","3.3","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Montenegro","All","6.28","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Czech Republic","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Republic of Moldova","Beer","0.47","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Iceland","Other alcoholic beverages","0.03","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1997","Europe","Switzerland","Other alcoholic beverages","0.12","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Romania","Beer","2.76","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Malta","Spirits","2.08","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Germany","All","11.68","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Azerbaijan","All","0.68","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Greece","All","10.67","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","France","Other alcoholic beverages","0.25","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1990","Europe","Bosnia and Herzegovina","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Cyprus","Wine","2.14","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Azerbaijan","Spirits","2.26","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Belgium","Beer","6.18","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Spain","Other alcoholic beverages","0.18","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Bosnia and Herzegovina","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Azerbaijan","Wine","0.05","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Poland","Wine","0.99","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Portugal","Beer","3.59","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1992","Europe","Ukraine","Wine","0.57","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Cyprus","Spirits","2.93","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1990","Europe","Sweden","Beer","3.66","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1996","Europe","Sweden","Beer","3.65","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1996","Europe","Azerbaijan","Wine","0.1","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1992","Europe","Israel","Spirits","0.51","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Malta","Wine","0.96","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2001","Europe","Monaco","Spirits","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Czech Republic","All","12.69","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Hungary","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Slovenia","All","10.94","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","The former Yugoslav Republic of Macedonia","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1998","Europe","Uzbekistan","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Kyrgyzstan","Beer","0.26","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Netherlands","Spirits","1.59","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Hungary","Wine","3.21","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Austria","Spirits","1.7","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1991","Europe","Belgium","Spirits","1.43","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1996","Europe","France","Other alcoholic beverages","0.27","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Israel","Spirits","0.71","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Iceland","All","4.57","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1997","Europe","Slovakia","All","13.09","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1997","Europe","Switzerland","Beer","3.41","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Uzbekistan","Wine","0.18","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Romania","Spirits","1.29","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Bulgaria","All","10.2","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Czech Republic","Beer","7.03","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Bosnia and Herzegovina","Spirits","7.15","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1991","Europe","Poland","All","8.63","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Cyprus","Wine","1.48","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Sweden","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Latvia","All","9.75","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Albania","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1996","Europe","Slovakia","Beer","5.78","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Andorra","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Belgium","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","San Marino","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1998","Europe","Russian Federation","Beer","1.61","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Sweden","All","7.3","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Armenia","All","3.84","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Armenia","Beer","0.27","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Romania","Wine","3.87","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Belarus","Beer","1.33","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1998","Europe","Estonia","Wine","1.11","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","Russian Federation","Wine","1.26","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Kyrgyzstan","Wine","0.15","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1992","Europe","France","Other alcoholic beverages","0.2","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1991","Europe","Slovenia","Wine","7.79","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1992","Europe","Czech Republic","All","14.28","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1997","Europe","Tajikistan","All","0.8","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Uzbekistan","All","2.25","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Romania","Wine","3.3","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Spain","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1992","Europe","Switzerland","Other alcoholic beverages","0.24","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1997","Europe","Russian Federation","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1999","Europe","Armenia","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Bosnia and Herzegovina","Beer","3.58","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Ukraine","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Andorra","Beer","5.84","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Iceland","All","6.61","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Italy","All","7.26","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1999","Europe","Netherlands","Wine","2.92","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1991","Europe","Kyrgyzstan","Beer","0.53","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Turkmenistan","Beer","0.09","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2006","Europe","Uzbekistan","All","1.92","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","Ireland","All","13.53","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1991","Europe","United Kingdom","Wine","1.81","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1996","Europe","Denmark","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Georgia","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1997","Europe","Netherlands","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1998","Europe","Kyrgyzstan","Beer","0.32","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Belgium","Wine","4.18","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2001","Europe","Iceland","Spirits","1.68","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2002","Europe","The former Yugoslav Republic of Macedonia","Wine","0.78","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Poland","Wine","1.64","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Russian Federation","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1995","Europe","Bosnia and Herzegovina","All","8.47","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1999","Europe","Kazakhstan","Spirits","2.84","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Luxembourg","All","13.61","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","The former Yugoslav Republic of Macedonia","Other alcoholic beverages","0.01","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2009","Europe","The former Yugoslav Republic of Macedonia","Wine","1.58","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2011","Europe","Norway","Wine","2.39","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1992","Europe","Bosnia and Herzegovina","Spirits","8.32","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2011","Europe","Germany","Wine","3.09","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Denmark","Spirits","1.75","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Russian Federation","Spirits","5.67","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2010","Europe","Croatia","Beer","4.23","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Republic of Moldova","Wine","0.2","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Ukraine","Spirits","3.29","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1990","Europe","Greece","Beer","2.48","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2001","Europe","Kazakhstan","Wine","0.18","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Czech Republic","Wine","1.88","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1992","Europe","Bosnia and Herzegovina","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Ireland","Beer","8","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2011","Europe","Finland","Other alcoholic beverages","1.21","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Malta","All","5.77","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2012","Europe","Denmark","All","8.89","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Malta","Other alcoholic beverages","0.02","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Belgium","Spirits","0.78","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1995","Europe","Iceland","Wine","0.74","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1992","Europe","Russian Federation","Wine","0.5","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Belgium","Wine","3.92","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1991","Europe","United Kingdom","Other alcoholic beverages","0.43","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Russian Federation","Wine","1.27","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","The former Yugoslav Republic of Macedonia","All","3.54","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1991","Europe","Kyrgyzstan","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1997","Europe","Bulgaria","Spirits","2.96","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Israel","All","2.35","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","Republic of Moldova","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2001","Europe","Slovenia","Spirits","3.5","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2005","Europe","Kazakhstan","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1996","Europe","Germany","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2008","Europe","Netherlands","Beer","4.75","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1993","Europe","Bosnia and Herzegovina","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2001","Europe","Serbia","Other alcoholic beverages","0","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2004","Europe","Italy","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","France","Beer","2.29","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1994","Europe","Uzbekistan","Other alcoholic beverages","","","","","missing data"
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1995","Europe","Belarus","Spirits","7.43","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","1998","Europe","Tajikistan","All","0.45","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2000","Europe","Turkey","Spirits","0.73","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2007","Europe","Greece","Spirits","2.44","","","",""
"Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)","Data source","Published","2003","Europe","San Marino","Other alcoholic beverages","","","","","missing data"
